歌曲名称,演唱者,昨日音乐指数,较前一日,昨日全站排名,较前一日1,当前时间,全站排名,音乐指数,当前收听人数,历史成绩,变化幅度,专辑,歌曲类型,平台,入V状态
如翡,王晰&赖美云,,,,,,0.0,0.0,,,0.0,无,影视OST,,
乌苏里船歌,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
知晓,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
阳关引,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
你,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
怂,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
重游往昔,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
夜半歌声,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
第13期02 【王晰，请回答】不快乐也没关系,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
时空,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
花儿为什么这样红,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
追梦者,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
他不爱我,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
下沉,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
逆光,满江&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第19期01 【睡前故事与酒】桂花香是秋天的灵魂，闻过便醉了,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第13期01 【睡前故事与酒】当月光洒在你身上，此刻你就是月亮,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
美好正发声,王晰,,,,,,0.0,0.0,,,0.0,无,推广曲,,
分岔,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
带着一颗好心去流浪,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
我们的歌,张一鸣&梁龙&王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
雪地里寄不出的求救信,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
以后,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
无人岛上,王晰,,,,,,0.0,0.0,,,0.0,EP《回望》,专辑曲,TME,
你是青山,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
第12期01 【睡前故事与酒】在桑格利亚的甜味里，回望灯塔的指引,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
倒叙,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
歌曲：月光,王晰&周深&蔡程昱&鞠红川&李琦&王凯歌剧演员,,,,,,0.0,0.0,,,0.0,无,未分类,,
玩笑,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
生而逢时,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
第12期02 【王晰，请回答】叛逆的小孩最终都会长大,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
歌颂,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第19期02 【王晰，请回答】在满足与自洽中，寻找《人生果实》,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
城里的月光,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
为你而唱,金志文&苏运莹&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
人都有老的时候,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
轻信,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
悬念,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
微而足道,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
第2期01 【睡前故事与酒】玛格丽特的初恋,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第11期02 【王晰，请回答】历久弥新，便是一生中最爱,王晰,,,,,,0.0,0.0,,,0.0,无,企划曲,,
第2期02 【王晰，请回答】大葱花的花语,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第11期01 【睡前故事与酒】夜空总有最大密度的蓝色，请允许自己放心的丧一下,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
葬心,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
玛莲娜,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第3期02 【王晰，请回答】唯有热爱能抵岁月漫长,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第10期02 【王晰，请回答】去“为什么咖啡馆”里找答案,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第3期01 【睡前故事与酒】毕业季，是用空气中萦绕的麦芽香气说再会,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
爱你在心口难开,张蔷&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
飞天,吴建豪&徐志贤BIE&尚九熙&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
茕茕,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第9期02 【王晰，请回答】身体和心灵总有一个在路上,王晰,,,,,,0.0,0.0,,,0.0,七专《不说》,专辑曲,,
扬起的帆,王晰&张英席&阿云嘎,,,,,,0.0,0.0,,,0.0,无,未分类,,
第8期02 【王晰，请回答】一首写给女儿的诗：我爱你，仅此而已,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第10期01 【睡前故事与酒】愿深邃明亮的纸飞机给你治愈的力量,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第4期02 【王晰，请回答】诗分享《活着》：把生命的热烈平静描述,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第9期01 【睡前故事与酒】性感旅途中的纯真博物馆,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第6期02 【王晰，请回答】愿我们按照自己的意愿过一生,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第7期02 【王晰，请回答】让我们一起在音乐中造梦吧,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第4期01 【睡前故事与酒】当我谈论青春时我在谈什么,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第5期02 【王晰，请回答】带你运动，来一组仰卧开合腿吧,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
月圆花好,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第5期01 【睡前故事与酒】独处，与运动后舒适的疲劳或恰到好处的醉意,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第6期01 【睡前故事与酒】在风平浪静的闲暇里，找自己,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
We Will Rock You + We Are the Champions,吴建豪&徐志贤BIE&尚九熙&王晰&张晓龙&迪玛希Dimash,,,,,,0.0,0.0,,,0.0,无,未分类,,
如梦令,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第8期01 【睡前故事与酒】七夕快乐，愿所有女孩如波本玫瑰般自由灿烂,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
第7期01 【睡前故事与酒】一杯情人的眼泪，给你至死方休的音乐和爱情,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
乡恋+一剪梅+遥远的她+冬天里的一把火,王晰&高天鹤&陆宇鹏&翟李朔天,,,,,,0.0,0.0,,,0.0,无,未分类,,
你要忘了我,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
亲爱的中国，我的爱,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
哈萨尼娅,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
追幸福的人,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
萤火,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
大江东去,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
王晰：为漫漫岁月，保留那份热忱,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
战歌,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
静止了的夜晚,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
夜,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
我要你,王晰&翟天临,,,,,,0.0,0.0,,,0.0,无,未分类,,
盲,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
红旗飘飘,王晰&郑云龙&阿云嘎&高天鹤&翟李朔天&蔡程昱&陆宇鹏,,,,,,0.0,0.0,,,0.0,无,未分类,,
苏州河,吴建豪&徐志贤BIE&尚九熙&王晰&张晓龙&迪玛希Dimash,,,,,,0.0,0.0,,,0.0,无,未分类,,
新不了情,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
志愿中国,廖昌永&王晰&周深&马佳&李琦,,,,,,0.0,0.0,,,0.0,无,未分类,,
王牌就是我,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
